wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
c35545**|놀러 갈때 입으려고 샀어요 ㅎㅎ입으니까 여리여리하고 더 이쁜것같아요! 남자친구랑 데이트할때 입어야겠어여 배송도 완전 빨리 와서 좋았어요! 자주 입고다닐것같아요!
ksh76**|커프스 너무크면 부담스러울까봐 걱정했는데 데일리 남방으로 딱좋은 디자인이더라구요 가격도 만족이구 배송도 생각보다 빨리왔어요!!
c35545**|가을에 입을만한 코트 하나 사고싶어서 샀는데 완전 만족해요!인터넷에서 본것보다 색이 더 이쁜것같아요!! 그리구 배송도 바로 보내주셔서 너무 좋아요~!이쁘게 입을게요 ㅎㅎ
zn53**|튼튼하고이쁘네요ㅎㅎ 지퍼도부드럽게잘닫히는데가방디자인이지퍼부분을가리고있어서열때좀힘들어요ㅠㅠㅋ 그래도튼튼하고커서좋아요! 가방내부도진짜이쁘더라구용
zn53**|후기보니까다들머스타드색상을많사신듯한데전네이비가끌려서네이비로샀어요ㅎ.ㅎ 디자인자체는보던그대로라서만족해요ㅋㅋ 머스타드도사고싶네여
zn53**|옷이정말이뻐요! 근데장점이라면장점일수있지만오프숄더로잊을생각이아닐경우면계속어깨가흘러내려서속옷끈이보여요ㅠㅠㅋㅋ 그냥오프숄더로입을각오하고입어야할것같네요
zn53**|몸에착달라붙는게너무이쁘네요ㅎ.ㅎ 디자인은정말마음에드는데옷에먼지가완전많이붙어서왔어요ㅠㅠㅠㅠ 그것도모르고입고나갔다가가방에다붙고... 하루종일그것때문에스트레스를너무많이받았어요ㅜㅜ 어쨌든그것만빼고는좋아영
julieseoye**|기모가 부들부들해서 좋아요~ 가볍게 걸치고 나가기에도 적당한것 같구 검은색이라 무난해서 편해요!! 부들부들하니까 편하게 입을 수 있는것 같아용
parkyounh**|저렴이라서 기대안했는데 완전 만족중이에요!부들부들하고 비싼애들에 비해 떨어지지않는 제품!완전 만족합니당고민하시는 분들 고민하지마시고 사세요~ 후회 No! No!
jenie**|좀 타이트?하다해야되나 ? 루즈핏은아니예요 ㅠㅠ 그래도 색이 생각보다예뻐서 괜찮아요 ㅎㅎ 예쁩니다사세요 ~~♡
ssj71**|오버사이즈 감이 없지 않아 잇어요.검정색이 더 이쁜 것 같아요.가을 겨울에 입기 좋아요 두께감이 잇으니 따뜻하고 좋아용ㅎㅎ
ssj71**|사진이랑 다르네요...조금 싸구려 티나요..무난하게 코디는 할 수 있겠지만그리 좋아보이진 않아요그냥 만원대 같아보야요
jenie**|아주잘입고있습니다 ! 색깔이뻐요 ㅠㅠ 사진이좀연하게나왔네요 .. 완전편하고 딱 취향저격 ! 재구매의사 당연히있습니다 고민하는분들 다사세요 ㅠㅠ
ssj71**|배송이 너무 느렸어요  ㅠㅠ.아직 입기엔 너무 이른감이 없지 않아.있어용겨울에도 입을 수  있을거 같아여ㅋㅋㅋㅈㅐ질이랑 색상은 맘에 들어용
jg0412**|배송은 생각보다 빨리 와서 좋았어요ㅎㅎ나시티 구매하려고 찾아보고 있었는데눈에 딱 들어오더라구요ㅋㅋㅋㅋ품절됬다고해서 기다렸다 샀는데 받아보고정말 잘산거같아요 길이도 짧지않고 쫀쫀한게좋더라구요 색깔은 그냥 기본으로 블랙이랑화이트로 샀는데 이너로 입고 겉에남방이랑 입어도 이뿔거 같애요♡
dpdlal6**|요즘 살을 열심히 뺴고 있는 중인데도 옷 라인이 이쁘고 좋아요!!! 뭐 아직 더 뺴야 되지만ㅠㅠ 그래도 추천해요. 이뻐요.싼 가격에 좋은 옷 구매 했습니다!!
byj34**|늦게와서놀러가서는못입엇네여 그래도생각했던핏나오고 작지도크지도 루즈핏이에여 색깔이부담스러울줄알앗는데 어느바지에나 잘어울리고 여기저기입기 좋네여 잘입을게여 감사해여 많이많이파세여~아 혜자쿠폰잘쓸게여~~~~~
jenie**|생각보다 아주두꺼워서 놀랬어요 11월?정도에 입어야될두께 ..? 그래도 색은 되게 이뻐요 고고싱니트 사랑합니다 !
jenie**|진짜 자주 입는아이예요 비침이있어서 나시입고입으면 진짜 예뻐요 ! 재구매의사 당연히있고 쭉 잘입을꺼같아요 만족합니다
jenie**|되게 루즈핏기대했는데 그닥그렇진않고 기장도 좀 짧은거같아요 아 두꺼워서 겨울에입기좋을듯해요 색감도 은근 예뻐서 입을만해요
jenie**|진짜 핏 예뻐요 진짜 자주입는듯 ..친구들도 계속 빌려달라하고 어디서샀냐하고 ..진짜 이건ㅅ사야되요 !! 색별로다가지고싶어요진짜 ♡
ysj23326**|제가 베이지로 시켰는데 'ㅅ7 오류였는지 아닌가 잘모르겠지만 색상이 예뻐가지고 만족합니다 >ㅅ<  커서 그런ㅣ 기분도 좋아요
wlgml26**|배송이 제일 느렸네요 ㅠㅠ 근데 생각보다 왓을때 응? 뭐가 이리크고 번쩍거리냐 했어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ오래기다렸는데 그래도 편하게 입을 슬렉스생겨서 좋은데 검정색은 뭔가 묘하게 반짝거리는듯한.. 느낌이 없지않아있습니다!
wlgml26**|이거 그레이! 정말 맘에들어서 어제 놀러갈때도 입고갔는데 다들 예쁘데요 ㅎㅎ 저렴하게 주고삿는데 싱남싱남 ㅋㅋㅋㅋㅋㅋㅋ음 재질은 봄가을 입기좋아요! 막 그렇게 두꺼운편은아니라서 불빛에 비추면 빛이 좀 들어오는게 보이는정도? 입니당
gydms3**|배송도빠르고 시험기간이라서 도서실갈때가 많아지는데 그럴때마다 뭐입고가지하고 옷걱정많이했는데 이제 이맨투맨있으니까 그럴필요도없고 좋은것같아요!
wlgml26**|이옷 정말.. 고민 많이햇어요.. 반품할까.. 이거 너무 솔직히.. 제 생각에는 입었을때 핏잌ㅋㅋㅋㅋㅋ 많이다른거예요 근데 환불하기도 그래서 그냥 입었는데 팔이 진짜 .. 진짜 팔통이 어마어마 합니다.. 진짜.. 너무커요.. 예쁜데.. ㅠㅠ 그리고 바지보단 치마가 더예쁜 코디더라구요.. 여튼.. 팔통엄청큰거빼고는 색상이며 다좋아요
gydms3**|배송도빠르고 생각보다 심플하고 러버글씨적혀있는게 너무이뻐요! 팔길이도길어서 멜빵원피스랑 입으면 너무이뻐요ㅎㅎ
wlgml26**|제가 살때는 몰랏는데 목부분이 라운드 더라구요 ㅠㅠ 솔직히 처음에 받고서 응?햇는데 ㅔ뭐 나쁘지않아서 잘입고다녀요 베이지랑 그레이 두개 주문했는데 목부분이 라운드라서 조금 뭐랄까 좀 그런데 입고다니는데 아무 문제도 없고 디자인적으로는 나쁘지않습니다~ ㅋㅋㅋ 저렴한가격치고는 재질도 좋구요
gydms3**|많이짧을꺼라고 생각했는데 많이안짧아서 좋은것같아요!제 키가 작은탓 일수도있지만...그래도 옷이이뻐서 잘입고다닐것같아요ㅎㅎ
eun19**|이거 생각보다 은근 여리여리한 핏 나와요... 엄청이쁨... 게다가 약간 좀 두툼해서 가을에 입으면 따수워서 좋을것 같아요!!
wlgml26**|찢청 진짜 사고싶었는데.. 저같은 하비도 찢청을 입을수있구나 하는 옷이였습니다.. 착용컷은 나중에 적립금을 받지않아도 다시 수정해서 올려드리고싶네요 진짜 ㅠㅠ 저는 생각 보다 편했고 그리고 조금 컷어요 허리가.. 흘러내리는거빼고는?! 진짜 옷 좋더라구요 ㅠㅠ 다들 예쁘다고난리 ㅠㅠ진짜 첫구매인데 잘삿습니다ㅠㅠ
eun19**|이거 진짜 완전 굳..... 어디에 입어도 어울려요ㅠㅠ 그래서 막입는데 너무너무 햄복♡ 막입는다해도 대충입은 느낌이아니라 약간 신경썻는데 편해보이는 그런느낌 이랄까?..
lmjh91**|와....진짜진짜편하고좋아요~~매일매일신고싶어서 하나더주문할려고해요. 다음엔 다른색도 한번사볼까 합니다!!
eun19**|옷은 이쁜데 저헌테 안어울려서 못입고 있어요ㅠㅠㅠ 아쉽 근데 옷 자체가 밑으로 축 늘어지는 핏이라서 그런디 약간 여리여리한 핏으로 나와요!!!! 여름에 해수욕장? 같은데 갈때 간단히 위에 걸쳐도 될것 같고 가을에는 주로 입어도 될것같아용
wldbs98**|생각만큼 너무예뻐요 ㅜㅜ많이주문했는데 배송도 빠르고 완전만족이여 역시고고싱 ㅎㅎ신플하게입기도좋고 사람들이탐내요 >_<최고네욥 !!!!
gkgud85**|가디건 산지 정말 오래전인데 지금 후기 남깁니다~전 회색을 샀는데요~ 색도 정말 괜찮고!! 흰 셔츠나 청남방위에 입으면 정말 이뻐요~ 한가지 단점이 있다면 가디건 위에 크로스백을 메고 저녁에 집에 와서 보면 그 줄 모양대로 비벼대서 그런지... 보풀이 나네요~ 그래도 가격이 싼만큼!! 잘 입고있습니다~
gkgud85**|흰 모자에 캡 안쪽에 초록색이 들어가있어서 정말 색이 잘 맞는것같아요!! 어디 놀러갈때ㅋㅋㅋ 자주 모자쓰고 나가요~ 도널드 자수도 정말 이쁘고요. 다른모자도 사려고 둘러보고있습니다!!
gkgud85**|이 가방 정말 이쁜 것 같아요!! 어떤 옷에나 매고 나가도 잘 어울리고 크기도 작지도 않고 크지도 않고 적당해서 매일 어디 나갈때 매고 나가요~ 여기서 또 다른 가방도 사려고 둘러보고 있어요~ 많이 이용하겠습니다^^ 싸고 좋아요!!!!!!
gkgud85**|ㅎㅎㅎ제가 골반이 좀 많이 넓어가지고.... 밑에부분이 단추가 잠기질 않네요ㅎ 이 옷은 골반이 적당히 있으면 이쁘게 잘 입을수있을 것 같아요! 이 옷은 하얀 반바지에 입으면 이쁠 것 같아요~저는 밑에가 안 잠겨가지고 아직 어떻게 입어야할지 모르겠습니다!!ㅎ
gkgud85**|산지 좀 지나고 올려요~제 신체사이즈에 비해 소매가 좀 길고 품이 좀 크고 길이가 많이 길긴하지만!! 스키니진에 입으면 정말 이쁘고 색도 정말 사진이랑 비슷해서 좋아요~ 앞으로도 남방이나 셔츠 좀 더 주문하려고 생각중입니다. 이쁘게 입겠습니다^^
glass03**|생각보다 조금 컸는데, 그래도 너무 예쁘네요! 여기 사진에서는 흑청이 흰 스커트와 코디 되어 있는데 진청도 흰색 하의랑 아주 잘 어울릴 거 같아요!!! 정말 배송도 빠르고 너무너무 마음에 듭니다~ 아! 그리고 데님 특유의 냄새가 좀 베여있었는데 한 번 빨래 돌리니까 바로 다 날아갔어요! 색 빠짐도 없고, 아주아주아주 만족합니다~~~~ 제가 키가 작은 편이라 좀 크게 느껴진건데, 160이상이신 분들이 입으시면 아주 적당하게 예쁜 길이가 될 거 같아요. 고민하지 마시고 얼른 얼른 사세요~
snszkftkx**|이거 개 이뻐요 징짜ㅜㅜㅜㅜ 너무 맘에들어요 뭔 바지에 입어도 예뿌고 소화 잘하더라구욜..근데 이거 제가 싫오하는 두명이 입는거 봐서 충격쓰^^.. 내가 먼저 샀을거야..그럴꺼얌..ㅎ
kimhyera**|제가 원래 225신는데 제일 작은걸 샀는데 조금 크긴 하더라구요 그래도 신을 만하고 예쁘네요^^키도 신발때문에 큰거처럼은 안보이구요~
wlsdl11**|이거 그냥 파인옷 입었을때 가슴 모아주는?그런기능밖에 없는거같아요 티나게 커지거나 그러지않아요오히려 달라붙는 화이트티셔츠 입으면 그냥 일반브라에 뽕넣어 입는거보다 더 작아보여요 파인옷 입을때는 괜찮을꺼 같은데 평소에는 실용성 없는거같아요
suyeonhan01**|색깔이 깔끔해서 좋아요검은색 볼캡 엄청 찾고 있었는데 찾게되서 정말 좋네요.제가 딱 원하는 이미지의 볼캡이였어요.
suyeonhan01**|사아아아알짝 크네요 그렇다고 235 사이즈 사면 너무 작을거 같고 조금 애매하네용그래도 색깔 깔끔하고 이뻐용 검은색좋아요
carrot55**|이 옷 진짜 예뻐요ㅠㅠ돈만 있으면 색깔별로 다 사놓고 싶을 정도로 마음에 듭니다 루즈핏이긴 한데 막 뚱뚱해보이는 핏이 아니라 그냥 포근하고 여리여리해보이는 핏이에요ㅜㅜ색도 너무 예쁘고 테니스치마 반바지 긴바지 어디에든 잘 어울리고 편해서 자꾸 손이가는 니트에요 꼭 사세요 여러분
suyeonhan01**|잘 맞아요~ 다리도 훨씬 이쁘고 길어보이고 죠아요색깔도 진청이라 깔끔해보이고 스판이라서 잘 늘어나고 좋네요 오호허
carrot55**|배송 진짜 빨랐어요 추석연휴 안 겹쳤으면 하루이틀만에 왔을 것 같아요! 흰니트라 많이 부해보일까봐 걱정했는데 하나도 안그래요! 핏도 예쁘고 살짝 도톰해서 초겨울까지 입을 수 있을 것 같아요. 색도 완전 흰색이라 멜빵치마같은 옷 안에 받쳐입기 좋을 것 같아용 안에 까끌까끌하지도 않아서 민소매 안입고 입어도 되용!
tjsdud6**|키가 크고 팔이 길어서 인터넷에서 옷 사 입기 힘든데 루즈핏이고 팔도 길어보여서 구매했어요. 사이즈는 괜찮고 올 풀린부분 없이 깨끗합니다. 단점은 목이 좁아서 그런 스타일 싫어하는 분들은 맘에 안드실거예요.
alwl15**|산지 꽤 되었는데 이제 후기남기네요! 아직 한달 지나지는 않았으니까 후기적립 되겠죠?ㅎㅎ 엠 샀는데 색깔 잘빠지고 신축성 짱짱이고 다 너무 마음에 들어요. 사실 라지사이즈 샀었는데 라지는 허리가 너무 컸거든요 훌렁훌렁내려가고ㅠㅜ 근데 미디엄은 좀 많이 작네요. 살 빼서 예쁘게 입고다니려고요. 상의도 고고싱에서 산거에요ㅎㅎ
rlaqhfk5**|라이더자켓 필요해서 구매했어용ㅎ 싼 가격이라서 좀 싸보이기는해요 ㅎㅎ 근데 전 그런건 상관없어서 만족이에용! 사진이랑 똑같어요!9
gkwjd**|걍 다리 날씬날씬 이뻐요 트임이있어서 답답한것도 업구 이쁜포인트가대요 색깔도 흰색에입어도 되구 검은색에 입어도 되고 어디든 무난하게 잘소화되는듯!! 짱짱이뻐요
yimarmi**|헥 !!!!!드디어 바지가 왔어요 !!사실 몇일전에 도착했는데 후기를 이제야 남기네요..ㅎ 이거랑 맨투을 가장 입고싶었는데 제일 늦게와서 마음이 상했어용....음 우선 막 후기중에 초록색실..?있다해서 아 이거 초록색실이면 어쩌지 ㅜㅜ이랬는데 실 색상 초록색 아니구용 정말 발목까지 딱 잡아주고 제가 키가 좀 작아서 2번 접어서 입어요 !!바지 정말 맘에 드네용!!
gkwjd**|진짜 짱짱이뻐요 긴말필요없어요 걍 여리여리 긍데 ㅋㅋㅋㅋ잘코디해여 못하묜 성가대같으니깐여 여리여리 패션이였어요 학교입고갔는데 먼가 진짜 대학생같았어요 하나 더살까생각중이에요
gydms7**|색깔이랑 디자인은 이쁜데 질이 너무 반짝반짝거리는거 같아요 냄새도 너무 심하게 나고... 배송은 빨라서 좋네요 ㅎㅎ 너무 빛나는 재질이라 제가 좋아하는 스타일은 아니라서 고민중이에요 근데 색깔이랑 디자인은 이뻐요 ㅎㅎ길이도 적당하곸ㅋㅋㅋㅋ
yimarmi**|와 이 맨투맨 정말 크긴 크네요..ㅎ 그래도 안에 기모가 정말 따듯해서 좋구요 ~! 팔은 음..몇번 접어서 입으면 될거같아요 ㅎㅎㅎ 싸게 사서 좋네요 이번에 핑크 맨투맨 처음사보는데 생각했던 색상보다 더 이뻐요 !! 카키색 살려다가 인디핑크 산건데..카키 못사서 아쉽구요.....ㅜ배송이 좀 늦은거 빼고는 정말 마음에 듭니다 ㅎㅎ(가격대비 쩔어요)
1719098584974197**|배송은 이틀만에왔는데 빨라서좋았어요친구들이 예쁘다고 자기도산다고 난리에옇ㅎㅎㅎ독서실에 아무도없어서 친구가 찍어줬어요 헷안에 속바지같은것도있고 길이도적당하고 핏도예뻐서좋네요저는 허리가 쬐끔남았는데 별로신경안쓰일정도라서괜찮네요상의는아무거나입어도 다 잘어울릴거같아오잘산거 같구 짱짱햐서 오래입을거같아오
yimarmi**|안녕하세요 !! 제가 가방이 흰색밖에 없어서 흰색 쓰고있다가 흰색을 도저히 쓰기 힘들어서 가방을 그레이로 하나 샀어요 !와 근데 정말 가방 재질 맘에 들구요 색상도 이쁘고 크기도 딱 적당하네요 ㅎㅎ 학교다닐때 잘 쓰고있습니다 ㅎ! 이렇게 좋은 상품을 사게 되어서 정말 좋아용♡
ysa02**|흰색샀는데ㅋㅋㅋ목라인 잘 늘어나네요 딱 가격만큼 입을만해요 색상은 생각보다 별로 안비쳐요 위에 남방 걸치면 예쁩니당
ysa02**|바지는 예뻐요! 제가 뚱뚱한건지.. 신축성이 좋아서 다리라인을 딱 잡아주진못하지만 편하게 입을수있어요 ㅎ 바지가 조금 우는데 커서그런지 작아서 그런지 모르겠어요.. 그래도 편합니당
ysa02**|이거 진짜 예뻐요 밑단이 조금 흐물하긴하지만 여리여리 해보이고 포근합니다! 스키니에 입어도 좋을꺼같아요 색상도 딱 예쁜색상이에요ㅎ
ysa02**|생각보다 편하지는 않네요ㅠㅠ 색상이 연핑크에 가깝네용 무난하게 착용할만 합니당 무난무난 괜찮아요! ㅋㅋㄱㅋㅋㅋㅋ
bus0**|예쁜데 조금까끌거리고짧아요....ㅎㅎㅎㅎㅎ구래도만족만족다른니트도같이샀는데 전부다이뻐욯ㅎㅎ언니도 옷예쁜거샀다고 말하더라구욯ㅎㅎㅎ
saw2**|옷이 하나같이 어깨가 너무 크네야 ㅎㅎㅎ... 이것도 남친줘야할기세 어깨가 크면 자연스럽게 떨어져야하는덷 그것도 아님 걍 안맞는옷 입은느낌 젤기대했지만 가장실망
saw2**|매우 마음에듬 길이도 좋궁 질도 좋고 가격도좋구 ㅋㅋㅋㅋ 네개나 삿는디 아주 잘입고 잇습니당 다른 색깔듀 사거 싶네어 ㅎㅎ
saw2**|아니 먼지랑 실밥 이런거 겁나묻어오내요^^.. 기분나빳음 개봉하자마자 기침 완전 많이함 그리고 팔너무 길어여.. 한 세번은 접어야할듯 그거말규 나머지는 괜찬
gusdk5**|너무너무이뻐요 올가을 고고싱덕분에 옷걱정없이 보낼수있을거같아요 가격대비 가성비 페이스북에 배송문제니 뭐니 많이 올라와서 걱정했었는데 그런문제 없이 빨리 받아볼수있었어요 ㅎㅎ 아직입어보진않았지만 이쁜거같아요
gusdk5**|너무너무이뻐요 올가을 고고싱덕분에 옷걱정없이 보낼수있을거같아요 가격대비 가성비 페이스북에 배송문제니 뭐니 많이 올라와서 걱정했었는데 그런문제 없이 빨리 받아볼수있었어요 ㅎㅎ 너무 많이 입고다녀서 벌써부터 쭈글쭈글해지고있어여ㅠㅠ
saw2**|잘늘어나고 입기편하지만 사진만큼 이쁜건 잘모르겟고 길이가 생각보다 짧습니다 하지만 편하게 입고 다니기에는 이거보다 좋은바지못봄 ㅋㅋㅋㅋ
gusdk5**|집앞에 잠깐나갈때쓰려고삿는데 가격도 저렴하고 막쓰고다니기 좋은거같아요  이모자를 산건 신의한수 ㅎㅎ나중에 다른색도 살까 고민중이에요
bigbangn**|기대를 너무 했나 생각보다 별로였어요. 캔버스인건 알고 있었는데 이런 느낌일거라고는 생각 안했는데 보며 볼수로 은근 괜찮은거 같아요 그냥 저 가격에 입을만 해요
saw2**|옷 대량으로 많이 삿는데 그중에 젤 맘에듬 진쯔 쫀쫀하고 뱃살듀 잡아주고 유연성 잇는 재질이라서 살빼거도 입을스 있을거같네요
bigbangn**|괜찮아요 나쁘지 않은데 냄새가 좀 심하고 물 쪼금 빠지더라구요 그래도 한번 빨고 나니까 냄새는 없어졌어요 디자인 ㅁ난하고 코디하기 편할것같고 요즘 옷들 너무 크게 나오던데 많이 안크고 덜 어벙해서 좋네요
gusdk5**|너무너무이뻐요 가격대비 가성비 페이스북에 배송문제니 뭐니 많이 올라와서 걱정했었는데 그런문제 없이 빨리 받아볼수있어서 더좋았던거같아요
saw2**|색깔더 이쁘고 팔길이 사이즈 다 맘에 듭니다 재질이 좀 까끌하긴한데 계속입다보먄 별로 안느꺼져요 잘산거같음 만족합니당
gusdk5**|너무너무이뻐요 올가을 고고싱덕분에 옷걱정없이 보낼수있을거같아요 가격대비 가성비 페이스북에 배송문제니 뭐니 많이 올라와서 걱정했었는데 그런문제 없이 빨리 받아볼수있었어요 ㅎㅎ
saw2**|사진으로 봤을때보다 훨씬큽니다 팔은 긴거 알았는데 어깨선이 너무 밑으러 심할정도로 떨어지고  지나치게 커서 그냥 남친 줬더니 딱맞네요
gusdk5**|너무너무이뻐요 많이 입는디저인이라서 문안하게 입을수잇어용 스판끼가없는거같아서 일부러 라지사이즈로 삿는데 너무너무크네용 ㅠㅠ 그래도 벨트착용하고 입을거라 괜찮은거같아요 ㅎㅎ올가을 고고싱덕분에 옷걱정없이 보낼수있을거같아요 가격대비 가성비 페이스북에 배송문제니 뭐니 많이 올라와서 걱정했었는데 그런문제 없이 빨리 받아볼수있었어요 ㅎㅎ
gusdk5**|너무너무이뻐요 올가을 고고싱덕분에 옷걱정없이 보낼수있을거같아요 가격대비 가성비 페이스북에 배송문제니 뭐니 많이 올라와서 걱정했었는데 그런문제 없이 빨리 받아볼수있었어요 ㅎㅎ ㅍ원하는색 품절되기전에 빨리겟하세요
sh8**|생각보다 마니커용 ㅋㅋㅋ 그래도 이뻐요 색감도 그렇고 ~~ 차라리 키가작으면 완전 박시해서 이쁜데 전 애매하네요 ㅋㅋㅋㅋㅋ 키큰게죄
dragonoh**|이쁘고 제가 입기엔 허벅지에서 반까지 오는것같아요 배송도 빠르고 색깔도 넘맘에들어서 여즘 이것밖에 안입어욯ㅎㅎㅎㅎ 적극추천ㅎㅎㅎㅎㅎ
mun07**|예쁜데 재질이 별로 좋진않아요
wjdtj14**|접어입으면 간지 쩔 그냥 진짜 편한데 진짜 이쁜 바지에요 다리가 날씬해 보이는거 같은 느낌도!! 근데 허리가 좀 커서 벨트해야될수도있어요!!
wjdtj14**|처음 보자마자 이건 진짜 안맞다 이건 망했다 생각했는데 입어보니까 진짜 잘늘오나고 다리라인도 꽉잡아저ㅓ서 진짜 좋았어요!!
zpdlxm1**|와 치마 이건 대박! 너무 편안하고 제가 하비라서 허벅지끼거나 허리 남을까봐 걱정햇는데 허리 조금 남는구 빼고 완전 딱이에요 ㅎㅎㅎㅎㅎ 걷거나 앉을땨도 편하고 완전 강추
dmstjd**|제가 인터넷에서는 바지를 잘 안사서,,, 고민 많이하구 천국바지 샀는데여!! 솔직히 스판도 이렇게 좋은바지는 처음이구 길이도 안줄일수 있어서 너무너무 좋은데ㅜㅜㅜㅜㅜ 한번입고 빠니까 앞부분과 옆부분이 늘어나서 돌아오지 않네요,,,,사이즈를 잘못입은 제탓인지,,,, 재질이 안좋은건지,,,너무 좋은 바지인거 같은데 다시는 안살거 같아서 너무 안타까워요ㅜㅜ
zpdlxm1**|배송은 일주일 넘게 기다렸지만 옷이 너무 이뻐요 ㅠㅠㅠ 오자마자 입고 나갓는데 남자친구도 이쁘다고 해주고 편안하고 너무 좋아요 ㅎㅎ 요즘같은계절에 딱인듯 해요!!
lhy759**|배송이 진짜 오래걸렸는데 남방을 받아보니까 제가 생각했던 것보다는 너무 얇았고 짧긴 하지만 이상해보이지 않고 입을만합니다.
youngmi**|기다린 보람이 있는 옷이에요...............가격대비 이런 예쁜옷을 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ오래 기다려서 솔직히 취소할까했지만 기다려서 받은제가 기특함 ㅋㅋㅋㅋ
youngmi**|너무 편하고 이뻐요 ㅋㅋㅋㅋ코디된거 보고 샀는데, 생지 청치마랑 입으니 정말 딱임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무이뻐요!! 잘입을게요 ㅋㅋㅋ
youngmi**|이거 딱좋아요 ㅋㅋㅋㅋㅋ지금 날씨에 요거 입고 자켓하나 걸치면 될듯색상도 화면이랑 거의 흡사해요!!!가을이라 카키랑 그레이 샀는데 다른색상도 다 갖고 싶어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ너무이쁨 ㅠㅠㅠㅠ
youngmi**|이거 착용감 진짜 편해요!!!!!!!!!!최고최고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ생각보다 딱붙어서 핏감도 좋고 ㅋㅋㅋㅋㅋㅋㅋㅋ정말 잘산듯해요 ㅋㅋㅋㅋㅋㅋ반했어요!!!!!!!!!다른색상도 살까 고민중이에요 ㅋㅋ
youngmi**|요거요거 너무 이뻐요!!재질도 부들부들하고 너무 좋네요 ㅋㅋㅋㅋ사이즈도 딱이고 사실 고고싱옷들이 저한텐 좀 큰데..이건 여리여리한핏으로 입을수 있어서 좋아요 ㅋㅋㅋ흰색 스키니진이나 치마 아님 검정색 치마에도 잘어울려서잘 입을거같아요 ㅋㅋ
bananana3**|톤다운된 핑크고 요새 인기있는 말린장미가 떠오르는 색깔이예요ㅋㅋㅋ 딱 가을에 입기 좋은색! 얼른 쌀쌀해져서 입어보고싶네요ㅋㅋ다만 가격이 싼옷이라 아무래도 질이 약간 떨어져요 광택이 좀 도는 느낌의 재질이라해야하나뭐 가격이 싼만큼 감수해야하는 부분이라 생각하는데 사실때 참고하세요!
goalsl**|그동안 라지,미듐 다 샀는데...안맞아서스몰샀더니 딱이네요!! 요즘 테니스스커트 기장 짧은곳이 많은데기장도 너무 짧지 않아서 좋네요!!네이비라 가을에도 무난하게 입을수 있을거 같아요!다른색도 몇개 더 구매하고 싶네요!!!
goalsl**|색깔 사진이랑 똑같은 진짜 리얼퍼플이네요!!!이뻐요 색깔은!!만족!!!!핏은 슬림핏이에요!! 살짝 달라붙어서 슬림핏이에요!!달라붙는거 싫으신 분들은 비추입니다..저는 만족이에요!!! 소매쪽이 나팔같은 것도 이쁘구요!!잘입을게요!!
bananana3**|큰 포켓하고 그옆에 빨간 라벨이 포인트가 되서 무난한듯 이쁜옷이예요ㅋㅋ 얇아서 옷 라인이 잘 안잡힐 줄 알았는데 생각보다 괜찮아요 요즘같은때 입기 좋은듯 잘입을게요^^
bananana3**|착용감이 너무 좋아요! 제 사이즈에 딱 맞게 시켰더니 입기도 편하고 색깔도 이쁘고 마음에 들어요 이때까지 고고싱에서 다른걸 사서 실망한적은 있었는데 바지는 웬만하면 다 퀄리티가 좋고 마음에 드네요ㅋㅋㅋ 잘입을게요!
bananana3**|요새 살쪄서 고심하다가 S샀는데 좋아요ㅋㅋㅋ  처음 받았을땐 작아보여서 반품해야하나 시무룩했는데 입어보니까 스판끼가 있어서 딱 맞네요! 언니가 색깔이나 그런게 타이즈같다면서 하는데 전 이 색깔이 마음에 들어서 괜찮았구요 다만 무릎찢어진 부분이 살때도 신경쓰였지만 역시나 애매하네요 딴사람들은 제가 찢은거냐며 더 찢으라고ㅋㅋㅋ 꼭 제가 어설프게 찢은것 같은 느낌이 있어요 그치만 전 크게 신경안쓰이고 맘에들어요! 착용감이 너무 좋아서 일할때도 잘입을것 같아요^^
areums**|기본 가디건 넉넉한  사이즈찾다가  구매했는데딱인거 같아요ㅎ길이도 엉덩이가리는정도라 따뜻함과 여성스럽기까지 해요 어디든지 잘  어울리거 같아서 좀더추워지면 매일 입게될거같습니다.블랙샀지만 답답하지 않고.목부분까지 단추가있어서 따듯하게 보여요ㅎ팔부분도 적당히 길어서 제맘에 쏙 듭니다.
areums**|두개구매했는데 베이지목부분에 실이 엉겨있었네요;;잘라서 입긴하는데 완전없애려니 목부분 망가질가봐 그냥 이너로입고  있습니다.화이트는 팔부분이 손목을 다가리진않아요ㅎ지금  입기좋은거 같아요색은 둘다 이뻐서 원피스등  어디에는 이쁘게 매치됩니다ㅎ고맙습니다.
chahl09**|이름처럼 딱 깔꿈햇어요 흰색이라 더러워질까봐 걱정이긴한데 제가좋아ㅏ하는 그런심플함이라서 나쁘지않앗어여ㅕㅎ
